Filename,Regions,Missed,Regions,Cover,Functions,Missed,Functions,Executed,Lines,Missed,Lines,Cover,Branches,Missed,Branches,Cover
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/Linux/package/include/openssl/lhash.h,13,13,0.00%,13,13,0.00%,40,40,0.00%,0,0,-
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/Linux/package/include/openssl/safestack.h,24,24,0.00%,24,24,0.00%,75,75,0.00%,0,0,-
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/Linux/sgx/libsgx_tsgxssl/bionic_localtime.c,154,154,0.00%,5,5,0.00%,106,106,0.00%,72,72,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/Linux/sgx/libsgx_tsgxssl/bionic_sscanf.c,488,488,0.00%,3,3,0.00%,525,525,0.00%,382,382,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/Linux/sgx/libsgx_tsgxssl/tSgxSSL_api.cpp,2,1,50.00%,2,1,50.00%,10,5,50.00%,0,0,-
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/Linux/sgx/libsgx_tsgxssl/tcpu_utils.cpp,17,1,94.12%,2,0,100.00%,28,3,89.29%,10,2,80.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/Linux/sgx/libsgx_tsgxssl/tctype.cpp,2,2,0.00%,2,2,0.00%,6,6,0.00%,0,0,-
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/Linux/sgx/libsgx_tsgxssl/texceptions.c,145,121,16.55%,5,1,80.00%,101,51,49.50%,52,43,17.31%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/Linux/sgx/libsgx_tsgxssl/tmem_mgmt.cpp,132,132,0.00%,8,8,0.00%,98,98,0.00%,38,38,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/Linux/sgx/libsgx_tsgxssl/tpthread.cpp,59,38,35.59%,2,1,50.00%,39,18,53.85%,18,10,44.44%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/Linux/sgx/libsgx_tsgxssl/trand.cpp,14,4,71.43%,3,1,66.67%,28,13,53.57%,8,4,50.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/Linux/sgx/libsgx_tsgxssl/tsocket.cpp,222,222,0.00%,14,14,0.00%,84,84,0.00%,26,26,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/Linux/sgx/libsgx_tsgxssl/tstdio.cpp,4,4,0.00%,1,1,0.00%,10,10,0.00%,2,2,0.00%
