Filename,Regions,Missed,Regions,Cover,Functions,Missed,Functions,Executed,Lines,Missed,Lines,Cover,Branches,Missed,Branches,Cover
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
SGX_APP/mbedtls-SGX/build/example/enclave/Enclave_t.c,815,290,64.42%,22,7,68.18%,863,407,52.84%,508,293,42.32%
SGX_APP/mbedtls-SGX/example/enclave/ecalls.cpp,5,0,100.00%,5,0,100.00%,26,0,100.00%,0,0,-
SGX_APP/mbedtls-SGX/example/enclave/enc.h,41,0,100.00%,1,0,100.00%,42,0,100.00%,0,0,-
SGX_APP/mbedtls-SGX/example/enclave/pprint.c,38,38,0.00%,3,3,0.00%,46,46,0.00%,24,24,0.00%
SGX_APP/mbedtls-SGX/example/enclave/s_client.c,795,548,31.07%,5,2,60.00%,683,441,35.43%,362,298,17.68%
SGX_APP/mbedtls-SGX/example/enclave/s_server.c,708,427,39.69%,10,6,40.00%,956,558,41.63%,372,276,25.81%
SGX_APP/mbedtls-SGX/example/enclave/ssl_conn_hdlr.cpp,121,51,57.85%,4,0,100.00%,173,61,64.74%,52,33,36.54%
SGX_APP/mbedtls-SGX/example/enclave/ssl_conn_hdlr.h,1,1,0.00%,1,1,0.00%,3,3,0.00%,0,0,-
SGX_APP/mbedtls-SGX/include/mbedtls/cipher.h,7,7,0.00%,7,7,0.00%,45,45,0.00%,0,0,-
SGX_APP/mbedtls-SGX/include/mbedtls/pk.h,3,3,0.00%,3,3,0.00%,9,9,0.00%,0,0,-
SGX_APP/mbedtls-SGX/include/mbedtls/ssl_ciphersuites.h,7,7,0.00%,7,7,0.00%,90,90,0.00%,0,0,-
SGX_APP/mbedtls-SGX/trusted/dummy.c,1,0,100.00%,1,0,100.00%,4,0,100.00%,0,0,-
SGX_APP/mbedtls-SGX/trusted/glue.c,12,8,33.33%,3,1,66.67%,36,17,52.78%,6,5,16.67%
SGX_APP/mbedtls-SGX/trusted/mbedtls-2.6.0/include/mbedtls/cipher.h,30,20,33.33%,7,5,28.57%,45,37,17.78%,18,14,22.22%
SGX_APP/mbedtls-SGX/trusted/mbedtls-2.6.0/include/mbedtls/pk.h,3,1,66.67%,3,1,66.67%,9,3,66.67%,0,0,-
SGX_APP/mbedtls-SGX/trusted/mbedtls-2.6.0/include/mbedtls/ssl_ciphersuites.h,34,27,20.59%,7,5,28.57%,90,73,18.89%,54,43,20.37%
SGX_APP/mbedtls-SGX/trusted/mbedtls-2.6.0/include/mbedtls/ssl_internal.h,31,22,29.03%,6,3,50.00%,50,37,26.00%,18,16,11.11%
SGX_APP/mbedtls-SGX/trusted/mbedtls-2.6.0/library/aes.c,334,239,28.44%,16,9,43.75%,560,411,26.61%,188,146,22.34%
SGX_APP/mbedtls-SGX/trusted/mbedtls-2.6.0/library/arc4.c,42,42,0.00%,6,6,0.00%,79,79,0.00%,24,24,0.00%
SGX_APP/mbedtls-SGX/trusted/mbedtls-2.6.0/library/asn1parse.c,190,86,54.74%,14,4,71.43%,212,79,62.74%,106,54,49.06%
SGX_APP/mbedtls-SGX/trusted/mbedtls-2.6.0/library/asn1write.c,323,323,0.00%,14,14,0.00%,222,222,0.00%,124,124,0.00%
SGX_APP/mbedtls-SGX/trusted/mbedtls-2.6.0/library/base64.c,124,64,48.39%,3,2,33.33%,133,88,33.83%,86,47,45.35%
