Filename,Regions,Missed,Regions,Cover,Functions,Missed,Functions,Executed,Lines,Missed,Lines,Cover,Branches,Missed,Branches,Cover
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
SGX_APP/wolfssl-all/wolfssl-examples/SGX_Linux/trusted/Wolfssl_Enclave.c,129,38,70.54%,35,6,82.86%,242,64,73.55%,60,25,58.33%
SGX_APP/wolfssl-all/wolfssl-examples/SGX_Linux/trusted/Wolfssl_Enclave_t.c,571,166,70.93%,27,3,88.89%,541,212,60.81%,302,171,43.38%
SGX_APP/wolfssl-all/wolfssl/src/internal.c,5882,5882,0.00%,172,172,0.00%,10162,10162,0.00%,4590,4590,0.00%
SGX_APP/wolfssl-all/wolfssl/src/keys.c,380,380,0.00%,9,9,0.00%,816,816,0.00%,308,308,0.00%
SGX_APP/wolfssl-all/wolfssl/src/ssl.c,1962,1920,2.14%,192,186,3.12%,3057,2996,2.00%,1386,1361,1.80%
SGX_APP/wolfssl-all/wolfssl/src/tls.c,202,202,0.00%,30,30,0.00%,459,459,0.00%,118,118,0.00%
SGX_APP/wolfssl-all/wolfssl/src/wolfio.c,73,73,0.00%,17,17,0.00%,122,122,0.00%,38,38,0.00%
SGX_APP/wolfssl-all/wolfssl/wolfcrypt/benchmark/benchmark.c,1139,262,77.00%,38,2,94.74%,1511,311,79.42%,636,281,55.82%
SGX_APP/wolfssl-all/wolfssl/wolfcrypt/src/aes.c,932,46,95.06%,34,1,97.06%,877,75,91.45%,292,100,65.75%
SGX_APP/wolfssl-all/wolfssl/wolfcrypt/src/asn.c,3575,2811,21.37%,172,112,34.88%,5396,4315,20.03%,2664,2268,14.86%
SGX_APP/wolfssl-all/wolfssl/wolfcrypt/src/coding.c,227,20,91.19%,8,0,100.00%,277,20,92.78%,178,43,75.84%
SGX_APP/wolfssl-all/wolfssl/wolfcrypt/src/des3.c,127,13,89.76%,16,0,100.00%,259,17,93.44%,72,20,72.22%
SGX_APP/wolfssl-all/wolfssl/wolfcrypt/src/dh.c,633,257,59.40%,28,8,71.43%,632,282,55.38%,454,254,44.05%
SGX_APP/wolfssl-all/wolfssl/wolfcrypt/src/dsa.c,347,168,51.59%,11,6,45.45%,392,255,34.95%,218,154,29.36%
SGX_APP/wolfssl-all/wolfssl/wolfcrypt/src/ecc.c,2404,460,80.87%,97,13,86.60%,2481,566,77.19%,1508,760,49.60%
SGX_APP/wolfssl-all/wolfssl/wolfcrypt/src/error.c,178,0,100.00%,2,0,100.00%,356,0,100.00%,348,0,100.00%
SGX_APP/wolfssl-all/wolfssl/wolfcrypt/src/hash.c,252,40,84.13%,14,0,100.00%,625,145,76.80%,390,75,80.77%
SGX_APP/wolfssl-all/wolfssl/wolfcrypt/src/hmac.c,205,54,73.66%,9,0,100.00%,320,102,68.12%,180,75,58.33%
SGX_APP/wolfssl-all/wolfssl/wolfcrypt/src/kdf.c,75,75,0.00%,3,3,0.00%,132,132,0.00%,52,52,0.00%
SGX_APP/wolfssl-all/wolfssl/wolfcrypt/src/logging.c,4,1,75.00%,4,1,75.00%,15,4,73.33%,0,0,-
SGX_APP/wolfssl-all/wolfssl/wolfcrypt/src/md4.c,115,1,99.13%,5,0,100.00%,117,1,99.15%,8,1,87.50%
SGX_APP/wolfssl-all/wolfssl/wolfcrypt/src/md5.c,228,21,90.79%,10,0,100.00%,199,28,85.93%,48,25,47.92%
SGX_APP/wolfssl-all/wolfssl/wolfcrypt/src/memory.c,20,0,100.00%,5,0,100.00%,46,0,100.00%,12,3,75.00%
SGX_APP/wolfssl-all/wolfssl/wolfcrypt/src/misc.c,86,21,75.58%,42,20,52.38%,253,150,40.71%,32,4,87.50%
SGX_APP/wolfssl-all/wolfssl/wolfcrypt/src/pwdbased.c,233,61,73.82%,7,1,85.71%,284,74,73.94%,162,75,53.70%
SGX_APP/wolfssl-all/wolfssl/wolfcrypt/src/rabbit.c,97,6,93.81%,8,1,87.50%,149,11,92.62%,34,7,79.41%
SGX_APP/wolfssl-all/wolfssl/wolfcrypt/src/random.c,409,118,71.15%,24,4,83.33%,528,126,76.14%,220,103,53.18%
SGX_APP/wolfssl-all/wolfssl/wolfcrypt/src/rsa.c,746,232,68.90%,33,0,100.00%,1034,331,67.99%,538,262,51.30%
SGX_APP/wolfssl-all/wolfssl/wolfcrypt/src/sha.c,331,24,92.75%,11,2,81.82%,190,36,81.05%,52,23,55.77%
SGX_APP/wolfssl-all/wolfssl/wolfcrypt/src/sha256.c,253,26,89.72%,13,1,92.31%,225,38,83.11%,82,33,59.76%
SGX_APP/wolfssl-all/wolfssl/wolfcrypt/src/signature.c,182,18,90.11%,8,0,100.00%,267,47,82.40%,166,50,69.88%
SGX_APP/wolfssl-all/wolfssl/wolfcrypt/src/sp_c32.c,1857,743,59.99%,193,65,66.32%,5528,2024,63.39%,1074,549,48.88%
